,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
0,0,3,0,22.0,1,0,S
1,1,1,1,38.0,1,0,C
2,1,3,1,26.0,0,0,S
3,1,1,1,35.0,1,0,S
4,0,3,0,35.0,0,0,S
5,0,3,0,,0,0,Q
6,0,1,0,54.0,0,0,S
7,0,3,0,2.0,3,1,S
8,1,3,1,27.0,0,2,S
9,1,2,1,14.0,1,0,C
10,1,3,1,4.0,1,1,S
11,1,1,1,58.0,0,0,S
12,0,3,0,20.0,0,0,S
13,0,3,0,39.0,1,5,S
14,0,3,1,14.0,0,0,S
15,1,2,1,55.0,0,0,S
16,0,3,0,2.0,4,1,Q
17,1,2,0,,0,0,S
18,0,3,1,31.0,1,0,S
19,1,3,1,,0,0,C
20,0,2,0,35.0,0,0,S
21,1,2,0,34.0,0,0,S
22,1,3,1,15.0,0,0,Q
23,1,1,0,28.0,0,0,S
24,0,3,1,8.0,3,1,S
25,1,3,1,38.0,1,5,S
26,0,3,0,,0,0,C
27,0,1,0,19.0,3,2,S
28,1,3,1,,0,0,Q
29,0,3,0,,0,0,S
30,0,1,0,40.0,0,0,C
31,1,1,1,,1,0,C
32,1,3,1,,0,0,Q
33,0,2,0,66.0,0,0,S
34,0,1,0,28.0,1,0,C
35,0,1,0,42.0,1,0,S
36,1,3,0,,0,0,C
37,0,3,0,21.0,0,0,S
38,0,3,1,18.0,2,0,S
39,1,3,1,14.0,1,0,C
40,0,3,1,40.0,1,0,S
41,0,2,1,27.0,1,0,S
42,0,3,0,,0,0,C
43,1,2,1,3.0,1,2,C
44,1,3,1,19.0,0,0,Q
45,0,3,0,,0,0,S
46,0,3,0,,1,0,Q
47,1,3,1,,0,0,Q
48,0,3,0,,2,0,C
49,0,3,1,18.0,1,0,S
50,0,3,0,7.0,4,1,S
51,0,3,0,21.0,0,0,S
52,1,1,1,49.0,1,0,C
53,1,2,1,29.0,1,0,S
54,0,1,0,65.0,0,1,C
55,1,1,0,,0,0,S
56,1,2,1,21.0,0,0,S
57,0,3,0,28.5,0,0,C
58,1,2,1,5.0,1,2,S
59,0,3,0,11.0,5,2,S
60,0,3,0,22.0,0,0,C
61,1,1,1,38.0,0,0,
62,0,1,0,45.0,1,0,S
63,0,3,0,4.0,3,2,S
64,0,1,0,,0,0,C
65,1,3,0,,1,1,C
66,1,2,1,29.0,0,0,S
67,0,3,0,19.0,0,0,S
68,1,3,1,17.0,4,2,S
69,0,3,0,26.0,2,0,S
70,0,2,0,32.0,0,0,S
71,0,3,1,16.0,5,2,S
72,0,2,0,21.0,0,0,S
73,0,3,0,26.0,1,0,C
74,1,3,0,32.0,0,0,S
75,0,3,0,25.0,0,0,S
76,0,3,0,,0,0,S
77,0,3,0,,0,0,S
78,1,2,0,0.83,0,2,S
79,1,3,1,30.0,0,0,S
80,0,3,0,22.0,0,0,S
81,1,3,0,29.0,0,0,S
82,1,3,1,,0,0,Q
83,0,1,0,28.0,0,0,S
84,1,2,1,17.0,0,0,S
85,1,3,1,33.0,3,0,S
86,0,3,0,16.0,1,3,S
87,0,3,0,,0,0,S
88,1,1,1,23.0,3,2,S
89,0,3,0,24.0,0,0,S
90,0,3,0,29.0,0,0,S
91,0,3,0,20.0,0,0,S
92,0,1,0,46.0,1,0,S
93,0,3,0,26.0,1,2,S
94,0,3,0,59.0,0,0,S
95,0,3,0,,0,0,S
96,0,1,0,71.0,0,0,C
97,1,1,0,23.0,0,1,C
98,1,2,1,34.0,0,1,S
99,0,2,0,34.0,1,0,S
100,0,3,1,28.0,0,0,S
101,0,3,0,,0,0,S
102,0,1,0,21.0,0,1,S
103,0,3,0,33.0,0,0,S
104,0,3,0,37.0,2,0,S
105,0,3,0,28.0,0,0,S
106,1,3,1,21.0,0,0,S
107,1,3,0,,0,0,S
108,0,3,0,38.0,0,0,S
109,1,3,1,,1,0,Q
110,0,1,0,47.0,0,0,S
111,0,3,1,14.5,1,0,C
112,0,3,0,22.0,0,0,S
113,0,3,1,20.0,1,0,S
114,0,3,1,17.0,0,0,C
115,0,3,0,21.0,0,0,S
116,0,3,0,70.5,0,0,Q
117,0,2,0,29.0,1,0,S
118,0,1,0,24.0,0,1,C
119,0,3,1,2.0,4,2,S
120,0,2,0,21.0,2,0,S
121,0,3,0,,0,0,S
122,0,2,0,32.5,1,0,C
123,1,2,1,32.5,0,0,S
124,0,1,0,54.0,0,1,S
125,1,3,0,12.0,1,0,C
126,0,3,0,,0,0,Q
127,1,3,0,24.0,0,0,S
128,1,3,1,,1,1,C
129,0,3,0,45.0,0,0,S
130,0,3,0,33.0,0,0,C
131,0,3,0,20.0,0,0,S
132,0,3,1,47.0,1,0,S
133,1,2,1,29.0,1,0,S
134,0,2,0,25.0,0,0,S
135,0,2,0,23.0,0,0,C
136,1,1,1,19.0,0,2,S
137,0,1,0,37.0,1,0,S
138,0,3,0,16.0,0,0,S
139,0,1,0,24.0,0,0,C
140,0,3,1,,0,2,C
141,1,3,1,22.0,0,0,S
142,1,3,1,24.0,1,0,S
143,0,3,0,19.0,0,0,Q
144,0,2,0,18.0,0,0,S
145,0,2,0,19.0,1,1,S
146,1,3,0,27.0,0,0,S
147,0,3,1,9.0,2,2,S
148,0,2,0,36.5,0,2,S
149,0,2,0,42.0,0,0,S
150,0,2,0,51.0,0,0,S
151,1,1,1,22.0,1,0,S
152,0,3,0,55.5,0,0,S
153,0,3,0,40.5,0,2,S
154,0,3,0,,0,0,S
155,0,1,0,51.0,0,1,C
156,1,3,1,16.0,0,0,Q
157,0,3,0,30.0,0,0,S
158,0,3,0,,0,0,S
159,0,3,0,,8,2,S
160,0,3,0,44.0,0,1,S
161,1,2,1,40.0,0,0,S
162,0,3,0,26.0,0,0,S
163,0,3,0,17.0,0,0,S
164,0,3,0,1.0,4,1,S
165,1,3,0,9.0,0,2,S
166,1,1,1,,0,1,S
167,0,3,1,45.0,1,4,S
168,0,1,0,,0,0,S
169,0,3,0,28.0,0,0,S
170,0,1,0,61.0,0,0,S
171,0,3,0,4.0,4,1,Q
172,1,3,1,1.0,1,1,S
173,0,3,0,21.0,0,0,S
174,0,1,0,56.0,0,0,C
175,0,3,0,18.0,1,1,S
176,0,3,0,,3,1,S
177,0,1,1,50.0,0,0,C
178,0,2,0,30.0,0,0,S
179,0,3,0,36.0,0,0,S
180,0,3,1,,8,2,S
181,0,2,0,,0,0,C
182,0,3,0,9.0,4,2,S
183,1,2,0,1.0,2,1,S
184,1,3,1,4.0,0,2,S
185,0,1,0,,0,0,S
186,1,3,1,,1,0,Q
187,1,1,0,45.0,0,0,S
188,0,3,0,40.0,1,1,Q
189,0,3,0,36.0,0,0,S
190,1,2,1,32.0,0,0,S
191,0,2,0,19.0,0,0,S
192,1,3,1,19.0,1,0,S
193,1,2,0,3.0,1,1,S
194,1,1,1,44.0,0,0,C
195,1,1,1,58.0,0,0,C
196,0,3,0,,0,0,Q
197,0,3,0,42.0,0,1,S
198,1,3,1,,0,0,Q
199,0,2,1,24.0,0,0,S
200,0,3,0,28.0,0,0,S
201,0,3,0,,8,2,S
202,0,3,0,34.0,0,0,S
203,0,3,0,45.5,0,0,C
204,1,3,0,18.0,0,0,S
205,0,3,1,2.0,0,1,S
206,0,3,0,32.0,1,0,S
207,1,3,0,26.0,0,0,C
208,1,3,1,16.0,0,0,Q
209,1,1,0,40.0,0,0,C
210,0,3,0,24.0,0,0,S
211,1,2,1,35.0,0,0,S
212,0,3,0,22.0,0,0,S
213,0,2,0,30.0,0,0,S
214,0,3,0,,1,0,Q
215,1,1,1,31.0,1,0,C
216,1,3,1,27.0,0,0,S
217,0,2,0,42.0,1,0,S
218,1,1,1,32.0,0,0,C
219,0,2,0,30.0,0,0,S
220,1,3,0,16.0,0,0,S
221,0,2,0,27.0,0,0,S
222,0,3,0,51.0,0,0,S
223,0,3,0,,0,0,S
224,1,1,0,38.0,1,0,S
225,0,3,0,22.0,0,0,S
226,1,2,0,19.0,0,0,S
227,0,3,0,20.5,0,0,S
228,0,2,0,18.0,0,0,S
229,0,3,1,,3,1,S
230,1,1,1,35.0,1,0,S
