PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FareC
0,0,3,0,22.0,1,0,S,17.65
1,1,1,1,38.0,1,0,C,173.57
2,1,3,1,26.0,0,0,S,38.59
3,1,1,1,35.0,1,0,S,129.30
4,0,3,0,35.0,0,0,S,39.20
5,0,3,0,,0,0,Q,35.43
6,0,1,0,54.0,0,0,S,252.57
7,0,3,0,2.0,3,1,S,25.66
8,1,3,1,27.0,0,2,S,18.07
9,1,2,1,14.0,1,0,C,15.04
10,1,3,1,4.0,1,1,S,40.66
11,1,1,1,58.0,0,0,S,129.30
12,0,3,0,20.0,0,0,S,39.20
13,0,3,0,39.0,1,5,S,21.76
14,0,3,1,14.0,0,0,S,38.25
15,1,2,1,55.0,0,0,S,77.92
16,0,3,0,2.0,4,1,Q,24.40
17,1,2,0,,0,0,S,63.31
18,0,3,1,31.0,1,0,S,43.83
19,1,3,1,,0,0,C,35.19
20,0,2,0,35.0,0,0,S,63.31
21,1,2,0,34.0,0,0,S,63.31
22,1,3,1,15.0,0,0,Q,33.63
23,1,1,0,28.0,0,0,S,172.89
24,0,3,1,8.0,3,1,S,25.66
25,1,3,1,38.0,1,5,S,33.97
26,0,3,0,,0,0,C,35.19
27,0,1,0,19.0,3,2,S,256.16
28,1,3,1,,0,0,Q,33.00
29,0,3,0,,0,0,S,38.45
30,0,1,0,40.0,0,0,C,135.00
31,1,1,1,,1,0,C,356.78
32,1,3,1,,0,0,Q,32.46
33,0,2,0,66.0,0,0,S,51.14
34,0,1,0,28.0,1,0,C,200.09
35,0,1,0,42.0,1,0,S,126.62
36,1,3,0,,0,0,C,35.21
37,0,3,0,21.0,0,0,S,39.20
38,0,3,1,18.0,2,0,S,29.22
39,1,3,1,14.0,1,0,C,27.37
40,0,3,1,40.0,1,0,S,23.07
41,0,2,1,27.0,1,0,S,51.14
42,0,3,0,,0,0,C,38.45
43,1,2,1,3.0,1,2,C,67.50
44,1,3,1,19.0,0,0,Q,33.00
45,0,3,0,,0,0,S,39.20
46,0,3,0,,1,0,Q,32.46
47,1,3,1,,0,0,Q,32.46
48,0,3,0,,2,0,C,35.19
49,0,3,1,18.0,1,0,S,43.34
50,0,3,0,7.0,4,1,S,32.21
51,0,3,0,21.0,0,0,S,37.99
52,1,1,1,49.0,1,0,C,124.56
53,1,2,1,29.0,1,0,S,63.31
54,0,1,0,65.0,0,1,C,41.32
55,1,1,0,,0,0,S,172.89
56,1,2,1,21.0,0,0,S,51.14
57,0,3,0,28.5,0,0,C,35.21
58,1,2,1,5.0,1,2,S,45.05
59,0,3,0,11.0,5,2,S,38.07
60,0,3,0,22.0,0,0,C,35.21
61,1,1,1,38.0,0,0,,40.00
62,0,1,0,45.0,1,0,S,203.26
63,0,3,0,4.0,3,2,S,22.65
64,0,1,0,,0,0,C,135.00
65,1,3,0,,1,1,C,37.12
66,1,2,1,29.0,0,0,S,51.14
67,0,3,0,19.0,0,0,S,39.73
68,1,3,1,17.0,4,2,S,8.58
69,0,3,0,26.0,2,0,S,14.06
70,0,2,0,32.0,0,0,S,51.14
71,0,3,1,16.0,5,2,S,38.07
72,0,2,0,21.0,0,0,S,71.59
73,0,3,0,26.0,1,0,C,35.20
74,1,3,0,32.0,0,0,S,39.30
75,0,3,0,25.0,0,0,S,37.26
76,0,3,0,,0,0,S,38.45
77,0,3,0,,0,0,S,39.20
78,1,2,0,0.83,0,2,S,56.49
79,1,3,1,30.0,0,0,S,30.38
80,0,3,0,22.0,0,0,S,43.83
81,1,3,0,29.0,0,0,S,46.27
82,1,3,1,,0,0,Q,32.62
83,0,1,0,28.0,0,0,S,229.38
84,1,2,1,17.0,0,0,S,51.14
85,1,3,1,33.0,3,0,S,19.30
86,0,3,0,16.0,1,3,S,41.85
87,0,3,0,,0,0,S,39.20
88,1,1,1,23.0,3,2,S,320.20
89,0,3,0,24.0,0,0,S,39.20
90,0,3,0,29.0,0,0,S,39.20
91,0,3,0,20.0,0,0,S,38.25
92,0,1,0,46.0,1,0,S,148.96
93,0,3,0,26.0,1,2,S,33.40
94,0,3,0,59.0,0,0,S,35.31
