PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FareC,Child
0,0,3,0,22.0,1,0,S,17.65,0
1,1,1,1,38.0,1,0,C,173.57,0
2,1,3,1,26.0,0,0,S,38.59,0
3,1,1,1,35.0,1,0,S,129.30,0
4,0,3,0,35.0,0,0,S,39.20,0
5,0,3,0,,0,0,Q,35.43,0
6,0,1,0,54.0,0,0,S,252.57,0
7,0,3,0,2.0,3,1,S,25.66,1
8,1,3,1,27.0,0,2,S,18.07,0
9,1,2,1,14.0,1,0,C,15.04,0
10,1,3,1,4.0,1,1,S,40.66,1
11,1,1,1,58.0,0,0,S,129.30,0
12,0,3,0,20.0,0,0,S,39.20,0
13,0,3,0,39.0,1,5,S,21.76,0
14,0,3,1,14.0,0,0,S,38.25,0
15,1,2,1,55.0,0,0,S,77.92,0
16,0,3,0,2.0,4,1,Q,24.40,1
17,1,2,0,,0,0,S,63.31,0
18,0,3,1,31.0,1,0,S,43.83,0
19,1,3,1,,0,0,C,35.19,0
20,0,2,0,35.0,0,0,S,63.31,0
21,1,2,0,34.0,0,0,S,63.31,0
22,1,3,1,15.0,0,0,Q,33.63,0
23,1,1,0,28.0,0,0,S,172.89,0
24,0,3,1,8.0,3,1,S,25.66,1
25,1,3,1,38.0,1,5,S,33.97,0
26,0,3,0,,0,0,C,35.19,0
27,0,1,0,19.0,3,2,S,256.16,0
28,1,3,1,,0,0,Q,33.00,0
29,0,3,0,,0,0,S,38.45,0
30,0,1,0,40.0,0,0,C,135.00,0
31,1,1,1,,1,0,C,356.78,0
32,1,3,1,,0,0,Q,32.46,0
33,0,2,0,66.0,0,0,S,51.14,0
34,0,1,0,28.0,1,0,C,200.09,0
35,0,1,0,42.0,1,0,S,126.62,0
36,1,3,0,,0,0,C,35.21,0
37,0,3,0,21.0,0,0,S,39.20,0
38,0,3,1,18.0,2,0,S,29.22,0
39,1,3,1,14.0,1,0,C,27.37,0
40,0,3,1,40.0,1,0,S,23.07,0
41,0,2,1,27.0,1,0,S,51.14,0
42,0,3,0,,0,0,C,38.45,0
43,1,2,1,3.0,1,2,C,67.50,1
44,1,3,1,19.0,0,0,Q,33.00,0
45,0,3,0,,0,0,S,39.20,0
46,0,3,0,,1,0,Q,32.46,0
47,1,3,1,,0,0,Q,32.46,0
48,0,3,0,,2,0,C,35.19,0
49,0,3,1,18.0,1,0,S,43.34,0
50,0,3,0,7.0,4,1,S,32.21,1
51,0,3,0,21.0,0,0,S,37.99,0
52,1,1,1,49.0,1,0,C,124.56,0
53,1,2,1,29.0,1,0,S,63.31,0
54,0,1,0,65.0,0,1,C,41.32,0
55,1,1,0,,0,0,S,172.89,0
56,1,2,1,21.0,0,0,S,51.14,0
57,0,3,0,28.5,0,0,C,35.21,0
58,1,2,1,5.0,1,2,S,45.05,1
59,0,3,0,11.0,5,2,S,38.07,1
60,0,3,0,22.0,0,0,C,35.21,0
61,1,1,1,38.0,0,0,,40.00,0
62,0,1,0,45.0,1,0,S,203.26,0
63,0,3,0,4.0,3,2,S,22.65,1
64,0,1,0,,0,0,C,135.00,0
